id,produto,quantidade,preÃ§o,data
1,jaqueta,3,120,1/4/2024
2,blusa,4,320,2/4/2024
3,bota,5,180,3/4/2024
4,luva,10,25,4/4/2024
5,corrente,15,12,5/4/2024
6,bloco de notas,20,10,6/4/2024
7,shorts,8,35,7/4/2024
8,sandália,4,90,8/4/2024
9,chapéu,12,15,9/4/2024
10,casaco de inverno,2,200,10/4/2024
11,bolsa,7,75,11/4/2024
12,revista,10,5,12/4/2024
13,agenda,18,12,13/4/2024
14,estilete,25,3,14/4/2024
15,caderno de desenho,15,8,15/4/2024
16,etiqueta adesiva,12,4,16/4/2024
17,tesoura,10,10,17/4/2024
18,papel colorido,5,20,18/4/2024
19,maquininha de cartão,2,150,19/4/2024
20,extensão elétrica,4,40,20/4/2024
21,pedestal de tablet,6,60,21/4/2024
22,caixa organizadora,5,50,22/4/2024
23,filtro de água,3,90,23/4/2024
24,ventilador portátil,4,150,24/4/2024
25,secador de cabelo,2,120,25/4/2024
26,escova de cabelo,10,20,26/4/2024
27,despertador,6,30,27/4/2024
28,máquina de café,18,300,28/4/2024
29,liquidificador,1,180,29/4/2024
30,torradeira,2,80,30/4/2024
31,geladeira pequena,4,1200,1/5/2024
32,micro-ondas,3,600,2/5/2024
33,aspirador de pó,1,250,3/5/2024
34,soprador de folhas,4,300,4/5/2024
35,bicicleta,5,800,5/5/2024
36,monitor de atividade,8,350,6/5/2024
52,joystick,20,200,7/5/2024
53,câmera instantânea,1,600,8/5/2024
54,baterias recarregáveis,4,2,9/5/2024
55,fogão portátil,3,500,10/5/2024
56,bandeja de jantar,5,45,11/5/2024
57,cobertor,1,80,12/5/2024
58,álbum de fotos,6,40,13/5/2024
59,secador de unhas,3,90,14/5/2024
60,kit de jardinagem,5,70,15/5/2024
61,lente de câmera,2,800,16/5/2024
62,macbook,1,5000,17/5/2024
